rn	type	text
198759	T	<par>Qiangic shows evidence both for a nasal prefix (Ergong <latinform>mdʑo</latinform>, Ersu <latinform>xuɑi⁵⁵ntʂhɛ⁵⁵</latinform>) and prefixal <reconstruction>*s-</reconstruction> (Pumi Jinghua <latinform>stʃuɑ⁵⁵</latinform>).</par>
198766	T	<par>Note the alternation between velar and labial initials, not surprising in view of the proto-labiovelar <reconstruction>*kʷ-</reconstruction> reconstructed for this root.</par>
198771	I	<par>Tujia <latinform>ȵie³⁵ pi⁵⁵</latinform> &apos;bird&apos;. </par>
199037	I	<par>Loan from Tibetan, cf. Lhasa Tibetan tɕhu⁵³ tshøʔ⁵³ &apos;wristwatch&apos;.</par>
199038	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199039	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199040	I	<par>Loan from Tibetan, cf. Lhasa Tibetan tɕhu⁵³ tshøʔ⁵³ and Tibetan (Khams) tɕhu⁵³ tshø⁵³ kho⁵⁵ lo⁵³ ‘wristwatch’.</par>
199041	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199043	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199044	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199046	I	<par>Loan, from Thai or Burmese?</par>
199047	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199049	I	<par>Loan, from Thai or Burmese?</par>
199050	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199051	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 &apos;wrist watch&apos;.</par>
199054	I	<par>Loan, from Thai or Burmese?</par>
199055	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199056	I	<par>Loan, from Thai or Burmese?</par>
199057	I	<par>Loan from Tibetan, cf. Tibetan (Amdo:Zeku) ti tshəl  &apos;wristwatch&apos;.</par>
199061	I	<par>Loan from Tibetan, cf. Lhasa Tibetan tɕhu⁵³ tshøʔ⁵³ and Tibetan (Khams) tɕhu⁵³ tshø⁵³ kho⁵⁵ lo⁵³ &apos;wristwatch&apos;.</par>
199062	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199063	I	<par>Loan from Tibetan, cf. Lhasa Tibetan tɕhu⁵³ tshøʔ⁵³ &apos;wristwatch&apos;.</par>
199064	I	<par>Loan from Tibetan, cf. Tibetan (Amdo:Blabrang) ti tshol khor lo &apos;wristwatch&apos;.</par>
199065	I	<par>Loan from Tibetan, cf. Lhasa Tibetan tɕhu⁵³ tshøʔ⁵³ &apos;wristwatch&apos;.</par>
199066	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199067	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199068	I	<par>Loan from Tibetan, cf. Lhasa Tibetan tɕhu⁵³ tshøʔ⁵³ &apos;wristwatch&apos;.</par>
199069	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199070	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
199071	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
