hptbid	plg	protoform	gloss	pages	mainpage	init	allofams	semclass	semclass2	tags	etyma_links
253	PLB	*ʔ-džan³ ⪤ *ʔ-tšan³	stretch out	260		*dzy	*dzyan ⪤ *tsyan	place		?	
254	PTB	*m-dzyaŋ	be there / have	267		*dzy	*dzyaŋ	place		?	
255	PLB	*džay²	play	30		*dzy	*dz(y)ay	kinship			
256	PLB	*džay²/¹	quotative particle	477		*dzy	*dz(y)ay	kinship		?	
257	PTB	*dz(y)ay-s	quotative particle	208, 477		*dzy	*dz(y)ay	kinship			
258	PTB	*dz(y)əw	suck / kiss / breast / milk	382		*dzy	*dz(y)əw	bodypart	reproductive	76,282,3456?	1758,76,282,3456
259	PLB	*dzikᴸ	drop (n.)	30		*dzy	*dz(y)ik ⪤ *ts(y)ik	water			
260	PTB	*g-t(y)ik	drip / drop (n.)	324, 506		*dzy	*dz(y)ik ⪤ *ts(y)ik	water			
261	PTB	*tsik	drip / drop (n.)	327		*dzy	*dz(y)ik ⪤ *ts(y)ik	water			
262	PLB	*džim²	raw	19		*dzy	*dz(y)im	bodypart			6180
263	PTB	*dz(y)im	raw / green	19		*dzy	*dz(y)im	plant		1005,2216	1005,2216
264	PTB	*dz(y)im	sweet / delicious	34, 66, 271		*dzy	*dz(y)im	bodypart		2221	2221
265	PTB	*dzyiːp	shut / close (v.) / close together	31, 353		*dzy	*dzyiːp	tool		2757	2757
266	PTB	*dzyon	ride (an animal)	34, 66, 291		*dzy	*dzyon	animal		2222	2222
267	PTB	*dz(y)oːp ⪤ *ts(y)oːp	suck / kiss / breast / milk	31, 371, 382		*dzy	*dz(y)oːp ⪤ *ts(y)oːp	bodypart	reproductive		3587
268	PTB	*dzyow	suck / kiss / breast / milk	382		*dzy	*dzyow	bodypart	reproductive		
269	PTB	*m-dz(y)u-k	belong / trust / depend / accept / take	479		*dzy	*dz(y)u	kinship		2793	2793
270	PTB	*dzyuk	suck / kiss / breast / milk	382		*dzy	*dzyuk	bodypart	reproductive		3587
271	PTB	*dzyuk	vulva / vagina	66		*dzy	*dzyuk	bodypart	reproductive	1356,1355,1357	3589,1356,1355,1357
272	PTB	*m-(d)z(y)u(ː)k	pierce / plant (v.) / erect / thorn	31, 362, 529		*dzy	*(d)z(y)u(ː)k	tool		2218	2218
273	PTB	*dzyup ⪤ *dzyip	suck / kiss / breast / milk	382, 500		*dzy	*dzyup ⪤ *dzyip	bodypart	reproductive		3587
274	PLB	*C-tšupᴸ	suck / kiss / breast / milk	316		*dzy	*dzyup ⪤ *dzyip	bodypart	reproductive		3587
275	PTB	*dzyut	suck / kiss / breast / milk	382		*dzy	*dzyut	bodypart	reproductive		3587
276	PTB	*dz(y)ut	pierce / plant (v.) / erect / thorn	529		*dzy	*dz(y)ut	tool			
277	PTB	*dzyut ⪤ *dzyit	tear / rip	365		*dzy	*dzyut ⪤ *dzyit	tool		?	
278	PLB	*m-džutᴸ ⪤ *m-džitᴸ	tear / rip	502		*dzy	*dzyut ⪤ *dzyit	tool			
279	PTB	*dzywal	hang down / sag	31, 66, 84, 407		*dzy	*dzywal	place		2224	2224
280	PLB	*džway¹	tooth / tusk	30		*dzy	*dzyway	bodypart			
281	PTB	*m-dzyway	tooth / tusk	212		*dzy	*dzyway	bodypart		635?	635
282	PTB	*m-ga	spin / card fibers	266		*g	*ga	tool	clothe	?	
283	PLB	*m-ga²	want / think / love	163		*g	*ga	bodypart		1646	1646
284	PLB	*m-ga³	help	163		*g	*ga	kinship		?	
285	PTB	*r-ga	old	127, 129		*g	*ga	natural		2228	2228
286	PLB	*ʔ-gakᴸ	branch	113, 325		*g	*gak	plant			
287	PLB	*m-gakᴸ	striped	120		*g	*gak	light		?	
288	PTB	*s-gal	load / burden	416, 423		*g	*gal	bodypart		?	
289	PTB	*s-gaːl ⪤ *m-kal	kidney / small of back / loins	404, 405, 428		*g	*gaːl ⪤ *kal	bodypart		201	201
290	PTB	*gam	put into mouth / seize with mouth / jaw / molar	299		*g	*gam	bodypart		2231,630	2231,630
291	PTB	*m-gam	ladder / ramp	250		*g	*gam	tool		?	
292	PTB	*gan	run / dance / kick	519		*g	*gan	place		2234?	2234
293	PLB	*ʔ-gaŋ¹	roast / toast / burn / be dry	268		*g	*gaŋ	light			
