lgid	name	abbr	grpid	source	iso	lgcode	sort	srcofdata	picode	pinotes	pi_page	notes
306	Bahing	Bahing	30	WSC-SH	bhj	48	BAHING	STC				
307	Bahing	bah	30	BM-PK7	bhj	48	BAHING	BM-PK7		Do PI for Edition 2		
308	Bahing-Rumdali	Bah-Rum	30	AW-TBT	bhj	48	BAH-RUM *					
309	Bai (Jianchuan)	Bai	51	ZYS-Bai	bca	373	BAI JC	ZYS-Bai	Bai7		37	trans. normalized; Jianchuan Bai
310	Bai (Bijiang)	BAIbj	51	JZ-Bai	bfc	371	BAI BJ	JZ-Bai	Bai2		30	
311	Bai (Bijiang)	Bai.Bijiang37	51	ZMYYC	bfc	371	BAI BJ	ZMYYC	Bai1		29	
312	Bai (Dali)	Bai	51	FD-Bai	bfs	372	BAI DL	FD-Bai	Bai3		31	
313	Bai (Dali)	BAIdl	51	JZ-Bai	bfs	372	BAI DL	JZ-Bai	Bai4		33	
314	Bai (Dali)	Bai.Dali35	51	ZMYYC	bfs	372	BAI DL	ZMYYC	Bai4		33	
315	Bai (Jianchuan)	Bai	51	DQ-Bai	bca	373	BAI JC	DQ-Bai	Bai5		34	by Li Shaoni
316	Bai (Jianchuan)	BAIjc	51	JZ-Bai	bca	373	BAI JC	JZ-Bai	Bai6		35	
317	Bai (Jianchuan)	Bai.Jianchuan36	51	ZMYYC	bca	373	BAI JC	ZMYYC	Bai6		35	
318	Bai	Bai	51	PC		370	BAI					undetermined dialect of Bai
319	Baima	Baima	22	SHK-BaimaQ	bqh	53	BAIMA	SHK-Baima	Baim1		39	
320	Banjogi	Banjogi	71	STC	czt	54	BANJOGI *					
321	Bantawa	Bant	76	AW-TBT	bap	55	BANTAWA	AW-TBT				
322	Bantawa	Bantawa	76	BM-PTNL	bap	55	BANTAWA	BM-PTNL				
323	Bantawa	ban	76	BM-PK7	bap	55	BANTAWA	BM-PK7				
324	Bantawa	banr	76	BM-PK7	bap	55	BANTAWA	NKR-Bant				
325	Bantawa	Bt	76	JAM-Ety	bap	55	BANTAWA					
326	Bantawa	Bantawa	76	JAM-VSTB	bap	55	BANTAWA					
327	Bantawa	Bantawa	76	NKR-Bant	bap	55	BANTAWA	original	Bant1		40	bodypart words
328	Bantawa	Bantawa	76	WW-Bant	bap	55	BANTAWA					need to extract
329	Tibetan (Batang)	Batang	24	DQ-Batang	khq	296	TIBETAN (BATANG )	DQ-Batang	TibBt2		396	
330	Tibetan (Batang)	Batang	24	GJ-Batang	khq	296	TIBETAN (BATANG )	GJ-Batang	TibBt1		393	
331	Bawm	Bawm	70	LL-PRPL	bgr	56	BAWM					
332	Bawm	Bawm	70	VS-GBL	bgr	56	BAWM	VS-GBL	Bawm1		42	
333	Bengni	Bengni S	73	JS-HCST	njz	58	BENGNI	JS-HCST	Beng1		44	JS's original data
334	Bengni	Bengni S	73	JS-Tani	njz	58	BENGNI	JS-Tani	Beng1		44	JS's original data
335	Bete	Bete	72	STC	biu	249	BETE *					
336	Bhote	Bhote	24	AW-TBT		59	BHOTE					"AW-TBT: ""Bhote, dialect of Chepuwa Pyt."""
337	Baram	Bhramu	20	STC	brd	60	BARAM	LSI?				
338	Bisu	Bisu	48	DB-PLolo	bzi	61	BISU	NT-Bisu	Bisu1		48	transcription normalized?
339	Bisu	Bisu	48	JAM-Ety	bzi	61	BISU	NT-Bisu				
340	Bisu	Bu	48	JAM-GSTC	bzi	61	BISU	NT-Bisu				
341	Bisu	Bi	48	JAM-TSR	bzi	61	BISU	NT-Bisu	Bisu1		48	
342	Bisu	Bisu	48	JAM-VSTB	bzi	61	BISU	NT-Bisu				
343	Bisu	Bisu	48	NT-Bisu	bzi	61	BISU	NT-Bisu	Bisu1		48	
344	Bisu	Bisu	48	PB-Bisu	bzi	61	BISU	PB-Bisu	Bisu2	transcription normalized in the STEDT db	46	same as PB-MB
345	Bisu	Bisu	48	RJL-DPTB	bzi	61	BISU					
346	Bisu	Bisu	48	DB-Bisu	bzi	61	BISU	NT-Bisu	Bisu1		48	transcription normalized
347	Bisu	Bisu	48	PB-MB	bzi	61	BISU	PB-MB	Bisu2		46	sim to PB-Bisu
348	Bodo	Bodo	80	ACST	brx	62	BODO	STC				
349	Bodo	Boro	80	AW-TBT	brx	62	BODO					
350	Bodo	Boro	80	Bhat-Boro	brx	62	BODO	Bhat-Boro	Bodo1		50	
351	Bodo	Bodo	80	HOD1847a	brx	62	BODO	HOD1847a?				
352	Bodo	Bo	80	JAM-Ety	brx	62	BODO	Bhat-Boro, RB-PB	Bodo1	actually also in Bodo3	50	
353	Bodo	Bo	80	JAM-GSTC	brx	62	BODO	Bhat-Boro, RB-PB	Bodo1	actually also in Bodo3	50	
354	Bodo	Boro	80	JAM-VSTB	brx	62	BODO	Bhat-Boro, RB-PB				
355	Bodo	Kachari	80	RB-PB	brx	62	BODO	RB-PB	Bodo3		52	
356	Bodo	Bodo	80	RJL-DPTB	brx	62	BODO					
357	Bodo	Bodo	80	SKR1889	brx	62	BODO	SKR1889		don't do		
358	Bodo	Bodo	80	STC	brx	62	BODO	HOD1847a, SKR1889				
359	Bodo	Bodo	80	WSC-SH	brx	62	BODO	STC				
360	Bokar	Bokar OY	73	JS-HCST	adi	63	BOKAR	JZ-Luoba, ZMYYC	Boka1		55	
361	Bokar	Bokar S	73	JS-HCST	adi	63	BOKAR	JS-HCST				JS's own data
362	Bokar	Bokar	73	JZ-Luoba	adi	63	BOKAR	JZ-Luoba	Boka1		55	
363	Bokar	Bokar	73	MEG1990	adi	63	BOKAR	MEG1990	Boka2		54	
364	Bokar	Bokar	73	OT-KnsI	adi	63	BOKAR					
365	Bokar	Bokar S	73	JS-Tani	adi	63	BOKAR	JS-Tani				
366	Bokar Lhoba	LBml	73	SLZO-MLD	adi	63	BOKAR L	SLZO-MLD	Boka1		55	
367	Bokar Lhoba	Luoba	73	RJL-DPTB	adi	63	BOKAR L					
368	Bokar Lhoba	Bokar51	73	ZMYYC	adi	63	BOKAR L	ZMYYC	Boka1		55	
369	Bokar	Bokar M	73	JS-HCST	adi	63	BOKAR	MEG1990	Boka2		54	
370	Bola	Bola	44	DQ-Bola	bxd	64	BOLA	DQ-Bola	Bola1		57	
371	Bola	Bola	44	JAM-TSR	bxd	64	BOLA					
372	Bola	Bola	44	DHFRL	bxd	64	BOLA	DHFRL	Bola1		57	
373	Bori	Bori	74	MEG1988	adi	347	BORI	MEG1988	Bori1		59	
374	Bori	Bori M	74	JS-HCST	adi	347	BORI	MEG1988				
375	Bumthang	Bum	22	AW-TBT	kjz	65	BUMTHANG					
376	Bunan	Bunan	20	JAM-GSTC	bfu	66	BUNAN					
377	Bunan	Bunan	20	RJL-DPTB	bfu	66	BUNAN					
378	Bunan	Bun	20	SBN-BunQ	bfu	66	BUNAN	SBN-BunQ	Buna1		60	
379	Bunan	Bunan	20	STC	bfu	66	BUNAN					
380	Bunan	Bunan	20	WSC-SH	bfu	66	BUNAN	STC				
381	Burmese (Inscriptional)	OB	44	JAM-TIL	obr	69	BURMESE (WRITTEN)	STC/AJ-BED?				
382	Burmese (Inscriptional)	OB	44	JO-PB	obr	69	BURMESE (WRITTEN)					
383	Burmese (Modern)	Burmese (Mod)	44	GHL-PPB	mya	67	BURMESE (MODERN)					
384	Burmese (Modern)	Burmese (Modern)	44	RB-PLB	mya	67	BURMESE (MODERN)	RB-PLB?	Burm2		63	
385	Burmese (Modern)	Burmese (Modern)	44	DHR-IBWS	mya	67	BURMESE (MODERN)		Burm3		65	
386	Burmese (Spoken)	Burmese	44	GHL-PPB	mya	67	BURMESE (SPOKEN)					
387	Burmese (Standard Spoken)	SB	44	JO-PB	mya	67	BURMESE (SPOKEN)					
388	Burmese (Written)	WB	44	ACST		69	BURMESE (WRITTEN)	STC/AJ-BED?				
