semkey	title	semcat	old_chapter	old_subchapter
1.1.1.2	Lean (Meat)	Nbp	1a	1.1.2
1.1.2	Life/Breathe/Exist	Nbp	1a	1.2
1.1.2.1	Life/Live/Alive	Nbp	1a	1.2.1
1.1.2.2	Breath/Breathe	Nbp	1a	1.2.2
1.1.2.3	Existence	Nbp	1a	1.2.3
1.1.2.4	Be able	Vbp	1b	1.2.3
1.1.3	Hungry	Nbp	1a	1.3
1.1.3.1	Thirsty	Nbp	1a	1.3.1
1.1.3.2	Satiated/Full/Enough	Nbp	1a	1.3.2
1.1.4	Wake/Conscious/Alert	Vbp	1b	1.4
1.1.4.1	Sleep/Be asleep	Nbp	1a	1.4.1
1.1.4.2	Dream	Nbp	1a	1.4.2
1.1.5	Strength	Nbp	1a	1.5
1.1.5.1	Sick/Hurt/Ache	Nbp	1a	1.5.1
1.1.5.2	Swollen/Swell/Bloated	Nbp	1a	1.5.2
1.1.6	Die/Deathly	Nbp	1a	1.6
1.1.6.1	Carcass/Dead Body	Nbp	1a	1.6.1
1.2	Head and Face	Nbp	1a	2
1.2.1	Head/Headed	Nbp	1a	2.1
1.2.1.1	Skull	Nbp	1a	2.1.1
1.2.1.2	Crown/Pate	Nbp	1a	2.1.2
1.2.1.3	Fontanel	Nbp	1a	2.1.3
1.2.1.4	Caul	Nbp	1a	2.1.4
1.2.1.5	Scalp	Nbp	1a	2.1.5
1.2.2	Horn(ed)/Antler	Nbp	1a	2.2
1.2.2.1	Comb/Crest	Nbp	1a	2.2.1
1.2.2.2	Comb (Hair)			
1.2.3	Hair of Head	Nbp	1a	2.3
1.2.3.1	Cowlick/Flexure	Nbp	1a	2.3.1
1.2.3.2	Queue/Braid	Nbp	1a	2.3.2
1.2.3.3	Long-haired	Vbp	1b	2.3
1.2.3.4	Bald	Nbp	1a	2.3.3
1.2.4	Brain	Nbp	1a	2.4
1.2.5	Face	Nbp	1a	2.5
1.2.5.1	Forehead/Temples	Nbp	1a	2.5.1
1.2.5.2	Jaw/Cheek	Nbp	1a	2.5.2
1.2.5.3	Chin	Nbp	1a	2.5.3
1.2.5.4	Dimple			
1.2.5.5	Beard/Moustache/Facial Hair	Nbp	1a	2.5.5
1.2.6	Eye	Nbp	1a	2.6
1.2.6.1	Eyeball	Nbp	1a	2.6.1
1.2.6.2	Iris/Pupil	Nbp	1a	2.6.2
